,title,abstract,affiliations,authors,journal,date,keywords,url
0,Methods for Assessing Corneal Opacity,"Purpose: Corneal opacity is a common clinical problem that directly impedes the cornea's function of light transmission. Despite this, there are no standard means of quantifying opacity. The purpose of this review is to summarize the reported options both clinicians and researchers have for objectively assessing corneal opacity. Methods: Review of the peer-reviewed literature reporting methods for assessing clinical opacity and transparency in both the research and clinic setting. Conclusion: Although a number of techniques for assessing corneal opacity have been reported in the literature, none have been widely adopted, highlighting the fact that there is still a need for an accessible, objective and easy to use method for quantifying corneal opacity.","['1 a Schepens Eye Research Institute/Massachusetts Eye and Ear Infirmary , Harvard Medical School , Boston , MA , USA.']","Thomas H Dohlman, Jia Yin, Reza Dana, ",Seminars in ophthalmology,2019,Cornea; OCT; fibrosis; imaging; opacity.,https://pubmed.ncbi.nlm.nih.gov/31188043
1,FLASH radiotherapy: ultra-high dose rates to spare healthy tissue,"A recent addition to the treatment options in external beam therapy, so-called FLASH radiotherapy, shows remarkable healthy-tissue-sparing properties in a number of pre-clinical studies without impacting the overall treatment efficacy. Its potential in clinical applications is attracting a great deal of interest in the medical community. The use of ultra-high dose rates at extremely short irradiation times has been shown to significantly enhance the differential effects between normal and tumor tissue. This makes it possible to increase treatment doses without further harming the surrounding healthy tissue. While most studies to date have focused on the use of electron beams, X-ray and proton FLASH radiotherapy have also shown beneficial effects, although for these latter two the results still need to be independently confirmed. Furthermore, the mechanisms underlying the biological effects remain to be elucidated. Very recently, the FLASH effect has been demonstrated in the first human patient, with promising results, supporting further clinical studies. This review will present an overview of the investigations into FLASH radiotherapy to date.","['1 Radiation Science and Technology, Delft University of Technology, Delft, the Netherlands.', '2 Physics Division, Argonne National Laboratory, Argonne, IL, USA.']","R M de Kruijff, ",International journal of radiation biology,2020 Apr,FLASH-RT; differential effect; normal tissue protection; ultra-high dose-rate irradiation.,https://pubmed.ncbi.nlm.nih.gov/31829765
2,Disk-based one-dimensional photonic crystal slabs for label-free immunosensing,"One-dimensional photonic crystal slabs are periodic optical nanostructures that produce guided-mode resonance. They couple part of the incident light into the waveguide generating bandgaps in the transmittance spectrum, whose position is sensitive to refractive index variations on their surface. In this study, we present one-dimensional photonic crystal slab biosensors based on the internal nanogrooved structure of Blu-ray disks for label-free immunosensing. We demonstrated that this polycarbonate structure coated with a critical thickness of TiO2 generates guided-mode resonance. Its optical behavior was established comparing it with other compact disk structures. The results were theoretically calculated and experimentally demonstrated, all them being in agreement. The bioanalytical performance of these photonic crystals was experimentally demonstrated in a model assay to quantify IgGs as well as in two immunoassays to determine the biomarkers C-reactive protein and lactate dehydrogenase (detection limits of 0.1, 87, and 13 nM, respectively). The results are promising towards the development of new low-cost, portable, and label-free optical biosensors that join these photonic crystals with dedicated bioanalytical scanners based on compact disk drives.","['1 Instituto Interuniversitario de Investigación de Reconocimiento Molecular y Desarrollo Tecnológico (IDM), Universitat Politècnica de València, Universitat de València, Camino de Vera s/n, 46022 Valencia, Spain.', '2 Instituto Interuniversitario de Investigación de Reconocimiento Molecular y Desarrollo Tecnológico (IDM), Universitat Politècnica de València, Universitat de València, Camino de Vera s/n, 46022 Valencia, Spain; Departamento de Química, Universitat Politècnica de València, Camino de Vera s/n, 46022 Valencia, Spain. Electronic address: amaquieira@qim.upv.es.']","Gabriel Sancho-Fornes, Miquel Avella-Oliver, Javier Carrascosa, Estrella Fernandez, Eva M Brun, Ángel Maquieira, ",Biosensors & bioelectronics,2019,Blu-ray; Diffraction; Guided-mode resonance; Immunosensing; Label-free; Photonic crystal.,https://pubmed.ncbi.nlm.nih.gov/30448719
3,Accuracy of Intraocular Lens Calculation Formulas,"Purpose:
      
    

    
      To compare the accuracy of intraocular lens (IOL) calculation formulas (Barrett Universal II, Haigis, Hoffer Q, Holladay 1, Holladay 2, Olsen, and SRK/T) in the prediction of postoperative refraction using a single optical biometry device. Design:
      
    

    
      Retrospective consecutive case series. Participants:
      
    

    
      A total of 13 301 cataract operations with an AcrySof SN60WF implant and 5200 operations with a SA60AT implant (Alcon Laboratories, Inc., Fort Worth, TX). Methods:
      
    

    
      All patients undergoing cataract surgery between July 1, 2014, and December 31, 2015, with Lenstar 900 optical biometry were eligible. A single eye per patient was included in the final analysis, resulting in a total of 18 501 cases. We compared the performance of each formula with respect to the error in predicted spherical equivalent and evaluated the effect of applying the Wang-Koch (WK) adjustment for eyes with axial length >25.0 mm on 4 of the formulas. Results:
      
    

    
      For the SN60WF, the standard deviation of the prediction error, in order of lowest to highest, was the Barrett Universal II (0.404), Olsen (0.424), Haigis (0.437), Holladay 2 (0.450), Holladay 1 (0.453), SRK/T (0.463), and Hoffer Q (0.473), and the results for the SA60AT were similar. The Barrett formula was significantly better than the other formulas in postoperative refraction prediction (P < 0.01) for both IOL types. Application of the WK axial length modification generally resulted in a shift from hyperopic to myopic outcomes in long eyes. Conclusions:
      
    

    
      Overall, the Barrett Universal II formula had the lowest prediction error for the 2 IOL models studied.","['1 The Permanent Medical Group, Redwood City Medical Center, Redwood City, California. Electronic address: Ronald.Melles@kp.org.', '2 Department of Ophthalmology, Baylor College of Medicine, Houston, Texas.', '3 The Permanent Medical Group, Redwood City Medical Center, Redwood City, California.']","Ronald B Melles, Jack T Holladay, William J Chang, ",Ophthalmology,2018 Feb,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/28951074
4,"ICRU report 91 on prescribing, recording, and reporting of stereotactic treatments with small photon beams : Statement from the DEGRO/DGMP working group stereotactic radiotherapy and radiosurgery","The International Commission on Radiation Units and Measurements (ICRU) report 91 with the title ""prescribing, recording, and reporting of stereotactic treatments with small photon beams"" was published in 2017. This extensive publication covers different relevant aspects of stereotactic radiotherapy such as small field dosimetry, accuracy requirements for volume definition and planning algorithms, and the precise application of treatment by means of image guidance. Finally, recommendations for prescribing, recording and reporting are given.","['1 Klinik für Strahlentherapie, Universitätsspital Zürich, Zürich, Switzerland. lotte.wilke@usz.ch.', '2 Klinik für Strahlentherapie, Universitätsspital Zürich, Zürich, Switzerland.', '3 Klinik für Strahlentherapie, Universitätsklinikum Schleswig-Holstein, Kiel, Germany.', '4 Klinik für Strahlentherapie, Universitätsklinikum Magdeburg, Magdeburg, Germany.', '5 Klinikum rechts der Isar, Klinik für Radioonkologie und Strahlentherapie, Technische Universität München, Munich, Germany.', '6 Klinik für Strahlentherapie, Universitätsklinikum Freiburg, Freiburg, Germany.', '7 Klinik für Strahlentherapie, Universitätsklinikum Münster, Münster, Germany.', '8 Klinik für Radioonkologie und Strahlentherapie, Universitätsklinikum Heidelberg, Heidelberg, Germany.', '9 Klinik für Strahlentherapie, Radioonkologie und CyberKnife, Uniklinik Köln, Cologne, Germany.']","Lotte Wilke, Nicolaus Andratschke, Oliver Blanck, Thomas B Brunner, Stephanie E Combs, Anca-Ligia Grosu, Christos Moustakis, Daniela Schmitt, Wolfgang W Baus, Matthias Guckenberger, ",Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],2019 Mar,"Organs at risk; Radiotherapy planning, computer-assisted; Stereotactic body radiation therapy; Stereotactic radiosurgery; Stereotactic radiotherapy.",https://pubmed.ncbi.nlm.nih.gov/30649567
5,Molecular dynamics simulated by photons,NO_ABSTRACT,"[""Simulating the vibrational quantum dynamics of molecules using photonics.\n      \n    \n\nSparrow C, Martín-López E, Maraviglia N, Neville A, Harrold C, Carolan J, Joglekar YN, Hashimoto T, Matsuda N, O'Brien JL, Tew DP, Laing A.\nSparrow C, et al.\nNature. 2018 May;557(7707):660-667. doi: 10.1038/s41586-018-0152-9. Epub 2018 May 30.\nNature. 2018.\nPMID: 29849155""]","Fabien Gatti, ",Nature,2018 May,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29805172
6,Illuminating human disease: The potential of in vivo imaging for preclinical research and diagnostics,"New in vivo imaging technologies, including optical methods to observe biological processes in real time, show great promise for preclinical research and diagnostics of human diseases.","['1 London, UK.']","Philip Hunter, ",EMBO reports,2019,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31523923
7,Risk of developing radiogenic cancer following photon-beam radiotherapy for Graves' orbitopathy,"Purpose:
      
    

    
      The objective of this study was to estimate the probability for cancer development due to radiotherapy for Graves' orbitopathy with 6 MV x rays. Methods:
      
    

    
      Orbital irradiation was simulated with the MCNP code. The radiation dose received by 10 out-of-field organs having a strong disposition for carcinogenesis was calculated with Monte Carlo methods. These dose calculations were used to estimate the organ-dependent lifetime attributable risk (LAR) for cancer induction in 30- and 50-yr-old males and females on the basis of the linear model suggested by the BEIR-VII report. Differential dose-volume histograms derived from patients' three-dimensional (3D) radiotherapy plans were employed to determine the organ equivalent dose (OED) of the brain which was partly exposed to primary radiation. The OED and the relevant LAR for brain cancer development were assessed with the plateau, bell-shaped and mechanistic models. The radiotherapy-induced cancer risks were compared with the lifetime intrinsic risk (LIR) values for unexposed population. Results:
      
    

    
      The radiation dose range to organs excluded from the treatment volume was 0.1-91.0 mGy for a target dose of 20 Gy. These peripheral organ doses increased the LIRs for cancer development of unexposed 30- and 50-yr-old males up to 1.0% and 0.2%, respectively. The corresponding elevations after radiotherapy of females were 2.0% and 0.4%. The use of nonlinear models gave an OED range of the brain of 482.0-562.5 mGy depending upon the model used for analysis and the patient's gender. The elevation of the LIR for developing brain malignancies after radiotherapy of 30-yr-old males and females reached to 13.3% and 16.6%, respectively. The corresponding increases after orbital irradiation at the age of 50 yr were 6.7% and 8.3%. Conclusions:
      
    

    
      The level of the LIR increase attributable to radiation therapy for GO varied widely by the organ under examination and the age and gender of the exposed subject. This study provides the required data to quantify the elevation of these baseline cancer risks following orbital irradiation.","['1 Department of Medical Physics, Faculty of Medicine, University of Crete, P.O. Box 2208, 71003, Iraklion, Crete, Greece.', '2 Department of Medical Physics, University Hospital of Iraklion, 71110, Iraklion, Crete, Greece.', '3 Department of Radiotherapy and Oncology, University Hospital of Iraklion, 71110, Iraklion, Crete, Greece.']","Michalis Mazonakis, Antonis Tzedakis, Efrossyni Lyraraki, John Damilakis, ",Medical physics,2018 Oct,Graves’ orbitopathy; cancer risk; radiation therapy.,https://pubmed.ncbi.nlm.nih.gov/30105825
8,Biomedical Optics Scientific Community,"The new Editor-in-Chief, Brian Pogue, gives an overview of the biomedical optics community.",NO_AFFILIATIONS,"Brian W Pogue, ",Journal of biomedical optics,2018 Jan,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29302956
9,Imaging Cell Interaction in Tracheal Mucosa During Influenza Virus Infection Using Two-photon Intravital Microscopy,"The analysis of cell-cell or cell-pathogen interaction in vivo is an important tool to understand the dynamics of the immune response to infection. Two-photon intravital microscopy (2P-IVM) allows the observation of cell interactions in deep tissue in living animals, while minimizing the photobleaching generated during image acquisition. To date, different models for 2P-IVM of lymphoid and non-lymphoid organs have been described. However, imaging of respiratory organs remains a challenge due to the movement associated with the breathing cycle of the animal. Here, we describe a protocol to visualize in vivo immune cell interactions in the trachea of mice infected with influenza virus using 2P-IVM. To this purpose, we developed a custom imaging platform, which included the surgical exposure and intubation of the trachea, followed by the acquisition of dynamic images of neutrophils and dendritic cells (DC) in the mucosal epithelium. Additionally, we detailed the steps needed to perform influenza intranasal infection and flow cytometric analysis of immune cells in the trachea. Finally, we analyzed neutrophil and DC motility as well as their interactions during the course of a movie. This protocol allows for the generation of stable and bright 4D images necessary for the assessment of cell-cell interactions in the trachea.","['1 Faculty of Biomedical Sciences, Institute for Research in Biomedicine, Università della Svizzera italiana (USI); Graduate School of Cellular and Molecular Sciences, Faculty of Medicine, University of Bern.', '2 Faculty of Biomedical Sciences, Institute for Research in Biomedicine, Università della Svizzera italiana (USI).', '3 Faculty of Biomedical Sciences, Institute for Research in Biomedicine, Università della Svizzera italiana (USI); Institute of Computational Science, Università della Svizzera italiana (USI).', '4 Faculty of Biomedical Sciences, Institute for Research in Biomedicine, Università della Svizzera italiana (USI); santiago.gonzalez@irb.usi.ch.']","Miguel Palomino-Segura, Tommaso Virgilio, Diego Morone, Diego U Pizzagalli, Santiago F Gonzalez, ",Journal of visualized experiments : JoVE,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30176018
